Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
312813,https://www.grubhub.com/restaurant/veselka-144-2nd-ave-new-york-city/312813,Veselka,4029 ratings,Breakfast
1339059,https://www.grubhub.com/restaurant/mcdonalds-1872-3rd-ave-new-york/1339059,McDonald's,1723 ratings,Fast Food
5764280,https://www.grubhub.com/restaurant/georges-mexican-grill-2937-newtown-ave-astoria/5764280,George's Mexican Grill,243 ratings,Breakfast
6444432,https://www.grubhub.com/restaurant/wendys-4330-boston-rd-bronx/6444432,Wendy's,944 ratings,Fast Food
358357,https://www.grubhub.com/restaurant/tropical-spanish-restaurant-3771-broadway-new-york/358357,Tropical Spanish Restaurant,1993 ratings,Breakfast
5449040,https://www.grubhub.com/restaurant/tropical-jerk-and-seafood-center-651-jerusalem-ave-uniondale/5449040,Tropical Jerk and Seafood Center,110 ratings,Seafood
432323,https://www.grubhub.com/restaurant/white-castle-351-e-103rd-st-new-york/432323,White Castle,2450 ratings,American
5343008,https://www.grubhub.com/restaurant/toastys-breakfast-burritos-46-trinity-pl-new-york/5343008,Toasty's Breakfast Burritos,20 ratings,Breakfast
22045,https://www.grubhub.com/restaurant/cozy-soup--burger-739-broadway-ave-new-york/22045,Cozy Soup & Burger,2039 ratings,Hamburger
2508679,https://www.grubhub.com/restaurant/brown-butter-craft-bar--kitchen-413-tompkins-ave-brooklyn/2508679,Brown Butter Craft Bar & Kitchen,567 ratings,Breakfast
345105,https://www.grubhub.com/restaurant/lennys-bagels-4662-boston-post-rd-pelham/345105,Lenny's Bagels,868 ratings,Bagel
2715782,https://www.grubhub.com/restaurant/little-poland-restaurant-200-2nd-ave-new-york/2715782,Little Poland Restaurant,199 ratings,Hamburger
64436,https://www.grubhub.com/restaurant/hollywood-diner-574-6th-ave-new-york/64436,Hollywood Diner,3521 ratings,Hamburger
483864,https://www.grubhub.com/restaurant/bread--butter-25-w-56th-st-new-york/483864,Bread & Butter,1854 ratings,Convenience
2262022,https://www.grubhub.com/restaurant/sofrito-al-punto-6420-17th-ave-brooklyn/2262022,Sofrito Al Punto,278 ratings,Breakfast
2735169,https://www.grubhub.com/restaurant/bushwick-halal-food-deli-1543-myrtle-ave-brooklyn/2735169,Bushwick Halal Food Deli,246 ratings,Convenience
5367872,https://www.grubhub.com/restaurant/miss-bagel-376a-marcus-garvey-blvd-brooklyn/5367872,Miss Bagel,153 ratings,Bagel
80351,https://www.grubhub.com/restaurant/bagels-by-the-park-323-smith-st-brooklyn/80351,Bagels by the Park,2430 ratings,Bagel
3349104,https://www.grubhub.com/restaurant/stephens-burgers-and-heros-61-25-woodhaven-blvd-queens/3349104,Stephen's Burgers and Heros,231 ratings,Hamburger
1784103,https://www.grubhub.com/restaurant/urban-natural-valley-market-1725-broadway-brooklyn/1784103,Urban Natural Valley Market,1067 ratings,Hamburger
1720843,https://www.grubhub.com/restaurant/cafe-nube-940-4th-ave-brooklyn/1720843,Cafe Nube,225 ratings,Mexican
1037207,https://www.grubhub.com/restaurant/el-mangu-restaurant-80-w-kingsbridge-rd-bronx/1037207,El Mangu Restaurant,923 ratings,Breakfast
4718088,https://www.grubhub.com/restaurant/dolphins-gourmet-deli-6052-riverdale-ave-bronx/4718088,Dolphins Gourmet Deli,65 ratings,Hamburger
2560226,https://www.grubhub.com/restaurant/tropical-isle-118-19-liberty-ave-south-richmond-hill/2560226,Tropical Isle,89 ratings,Indian
300180,https://www.grubhub.com/restaurant/good-enough-to-eat---the-original-since-1981-520-columbus-ave-new-york/300180,"Good Enough To Eat - The Original, since 1981",668 ratings,Breakfast
1432703,https://www.grubhub.com/restaurant/georges-latin-american-bistro-11-graham-ave-brooklyn/1432703,George's Latin American Bistro,708 ratings,Latin American
817243,https://www.grubhub.com/restaurant/liberty-bagels-midtown-260-w-35-st-new-york/817243,Liberty Bagels Midtown,2655 ratings,Bagel
1037766,https://www.grubhub.com/restaurant/solimar-grill-restaurant-1800-archer-st-bronx/1037766,Solimar Grill Restaurant,135 ratings,Breakfast
2683387,https://www.grubhub.com/restaurant/carmines-italian-deli-cafe-7-old-rd-elmsford/2683387,Carmines Italian Deli Cafe,141 ratings,Grill
